ACADEMIC_YEAR ACADEMIC_TERM EVENT_ID START_DATE PERSON_CODE_ID PEOPLE_ID STATUS_DATE LAST_YEAR LAST_TERM MID_GRADE FINAL_GRADE
2019 SPRING MATH116 09-Jan-2019 P107180114 3ba75ab5 10-Dec-2018 2020 SPRING F C
2019 SPRING MATH116 09-Jan-2019 P107180114 3ff0c205 08-Nov-2018 2019 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P107180114 3fe327df 31-Oct-2018 2020 SPRING D B
2019 SPRING MATH116 09-Jan-2019 P107180114 3feb1139 09-Jan-2019 2020 SPRING C C
2019 SPRING MATH116 09-Jan-2019 P107180114 3fe3dac7 30-Oct-2018 2020 SPRING C+ A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe70ec7 08-Nov-2018 2019 SUMMER C C
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff233b5 25-Oct-2018 2020 SPRING B A
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff00fb3 08-Nov-2018 2019 SPRING A B
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe49ba1 30-Oct-2018 2020 SPRING B A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe7584b 07-Nov-2018 2020 SPRING D D
2019 SPRING MATH116 09-Jan-2019 P089009198 3fee9e85 08-Nov-2018 2019 FALL B B
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe62967 08-Jan-2019 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fd93cb1 08-Nov-2018 2019 FALL A C
2019 SPRING MATH116 09-Jan-2019 P089009198 3feab315 08-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3feff555 08-Nov-2018 2020 SPRING D D
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe5a483 26-Nov-2018 2020 SPRING B A
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff0319b 27-Dec-2018 2020 SPRING C B
2019 SPRING MATH116 09-Jan-2019 P089009198 3fd9b41b 25-Oct-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fee0df3 01-Nov-2018 2019 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff003d3 06-Nov-2018 2020 SPRING B C
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff22983 08-Nov-2018 2020 SPRING A B
2019 SPRING MATH116 09-Jan-2019 P089009198 3fef6a63 08-Nov-2018 2020 SPRING C C
2019 SPRING MATH116 09-Jan-2019 P089009198 3fea9ba5 08-Nov-2018 2019 SPRING B C
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff00725 07-Nov-2018 2020 SPRING A C
2019 SPRING MATH116 09-Jan-2019 P089009198 3fee0e93 08-Nov-2018 2019 FALL A C
2019 SPRING MATH116 09-Jan-2019 P089009198 3fdd72b3 25-Oct-2018 2020 SPRING B A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe3d99b 25-Oct-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fdf5745 07-Nov-2018 2019 SPRING C D
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff033ad 06-Dec-2018 2019 FALL B C
2019 SPRING MATH116 09-Jan-2019 P089009198 3ba61551 23-Oct-2018 2019 SPRING C C
2019 SPRING MATH116 09-Jan-2019 P089009198 3fea5677 01-Nov-2018 2020 SPRING A B
2019 SPRING MATH116 09-Jan-2019 P089009198 3fd9a291 21-Dec-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fdc4735 08-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff00fbd 06-Nov-2018 2020 SPRING A B
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff4c391 02-Jan-2019 2020 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe6337b 07-Jan-2019 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe902f9 10-Jan-2019 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3ba2bcad 15-Jan-2019 2019 FALL C D
