Semester Taken,ID,Mathrecommendation,Adjusted Score,Raw Score
SP2019,   3ff3235b,   MATH120,,36
SP2019,   3ff3244b,   MATH120,,34
SP2019,   3ff324eb,   MATH120,,23
SP2019,   3ff325b3,   MATH115,,19
SP2019,   3ff32603,   MATH112,,20
SP2019,   3ff3262b,   MATH112,,13
SP2019,   3ff32685,   MATH120,,23
SP2019,   3ff327c5,   MATH120,,30
SP2019,   3ff327e3,   MATH120,,27
SP2019,   3ff328d3,   MATH115,,20
SP2019,   3ff32b3f,   MATH120,,36
SP2019,   3ff32be9,   MATH120,,29
SP2019,   3ff32be9,   MATH120,,29
SP2019,   3ff32be9,   MATH120,,29
SP2019,   3ff32c57,   MATH120,,30
SP2019,   3ff32c6b,   MATH120,,35
SP2019,   3ff32cd9,   MATH115,,23
SP2019,   3ff32d51,   MATH112,,21
SP2019,   3ff32d6f,   MATH120,,25
SP2019,   3ff32d83,   MATH120,,26
SP2019,   3ff32dab,   MATH112,,22
SP2019,   3ff32e0f,   MATH115,,11
SP2019,   3ff32f3b,   MATH115,,19
SP2019,   3ff33125,   MATH120,,23
SP2019,   3ff3332d,   MATH120,,24
SP2019,   3ff335a3,   MATH120,,29
SP2019,   3ff33661,   MATH112,,17
SP2019,   3ff337fb,   MATH120,,26
SP2019,   3ff3396d,   MATH120,,29
SP2019,   3ff33a85,   MATH120,,27
SP2019,   3ff33b75,   MATH115,,17
SP2019,   3ff33be3,   MATH115,,25
SP2019,   3ff33e13,   MATH120,,28
SP2019,   3ff33ed1,   MATH120,,26
SP2019,   3ff33f71,   MATH112,,10
SP2019,   3ff3410b,   MATH120,,28
SP2019,   3ff341e7,   MATH115,,23
SP2019,   3ff3424b,   MATH115,,22
SP2019,   3ff3425f,   MATH120,,24
SP2019,   3ff34381,   MATH115,,17
SP2019,   3ff344f3,   MATH120,,24
SP2019,   3ff346bf,   MATH115,,23
SP2019,   3ff34723,   MATH120,,28
SP2019,   3ff3497b,   MATH120,,30
SP2019,   3ff34b15,   MATH115,,16
SP2019,   3ff34ca5,   MATH112,,21
SP2019,   3ff34e21,   MATH115,,21
SP2019,   3ff34f39,   MATH115,,19
SP2019,   3ff34f39,   MATH115,,22
SP2019,   3ff34fd9,   MATH120,,27
SP2019,   3ff3500b,   MATH120,,30
SP2019,   3ff35263,   MATH120,,36
SP2019,   3ff352c7,   MATH112,,18
SP2019,   3ff353ad,   MATH112,,20
SP2019,   3ff353ad,   MATH112,,22
SP2019,   3ff353d5,   MATH115,,12
SP2019,   3ff35547,   MATH115,,19
SP2019,   3ff35547,   MATH115,,19
SP2019,   3ff3555b,   MATH120,,32
SP2019,   3ff3560f,   MATH120,,24
SP2019,   3ff356a5,   MATH115,,16
SP2019,   3ff35835,   MATH112,,19
SP2019,   3ff35925,   MATH112,,15
SP2019,   3ff359ed,   MATH120,,34
SP2019,   3ff35a6f,   MATH115,,16
SP2019,   3ff35b19,   MATH120,,29
SP2019,   3ff35b19,   MATH120,,32
SP2019,   3ff35be1,   MATH120,,31
SP2019,   3ff35c27,   MATH120,,27
SP2019,   3ff35dc1,   MATH120,,24
SP2019,   3ff35ef7,   MATH120,,30
SP2019,   3ff35f83,   MATH120,,32
SP2019,   3ff36127,   MATH115,,8
SP2019,   3ff361ef,   MATH112,,22
SP2019,   3ff362fd,   MATH112,,22
SP2019,   3ff36393,   MATH120,,28
SP2019,   3ff36613,   MATH120,,24
SP2019,   3ff36613,   MATH120,,24
SP2019,   3ff3672b,   MATH120,,27
SP2019,   3ff367b7,   MATH112,,10
SP2019,   3ff36a55,   MATH120,,31
SP2019,   3ff36b3b,   MATH120,,29
SP2019,   3ff36b8b,   MATH115,,17
SP2019,   3ff36bdb,   MATH112,,21
SP2019,   3ff36d11,   MATH112,,20
SP2019,   3ff36e6f,   MATH120,,26
SP2019,   3ff37225,   MATH120,,27
SP2019,   3ff372ed,   MATH120,,31
