2019,          FALL,        MATH209,        P107307329,    3fdfffc9,        15-Aug-2019,        B,        C,        
2019,          SPRING,        MATH209,        P100062478,    3fe00609,        09-Nov-2018,        C,        B-,        
2019,          SPRING,        MATH116,        P107266245,    3fe006ef,        08-Nov-2018,        A,        B,        
2019,          SPRING,        MATH120,        P107180114,    3fe01851,        09-Jan-2019,        ,        W,        
2019,          SPRING,        MATH209,        P008616066,    3fe02841,        08-Nov-2018,        C,        C,        
2019,          SPRING,        MATH117,        P107180113,    3fe02a2b,        06-Nov-2018,        A,        A,        
2019,          FALL,        MATH209,        P107307329,    3fe02a2b,        27-Mar-2019,        A,        A-,        
2019,          SPRING,        MATH209,        P107265288,    3fe0334f,        06-Nov-2018,        A,        A-,        
2019,          SPRING,        MATH209,        P107265288,    3fe034df,        11-Dec-2018,        B,        B-,        
2019,          FALL,        MATH116,        P107307484,    3fe034df,        18-May-2019,        A,        A,        
2019,          FALL,        MATH117,        P008616066,    3fe036e7,        20-Aug-2019,        A,        A,        
2019,          SPRING,        MATH115,        P008616066,    3fe036e7,        09-Nov-2018,        A,        A,        
2019,          SPRING,        MATH209,        P002014415,    3fe03719,        01-Nov-2018,        C,        C,        
2019,          FALL,        MATH120,        P100021964,    3fe06315,        15-Apr-2019,        D,        W,        
2019,          SPRING,        MATH116,        P107265286,    3fe068bf,        31-Oct-2018,        B,        B,        
2019,          SPRING,        MATH209,        P008616066,    3fe06c07,        09-Nov-2018,        F,        W,        
2019,          FALL,        MATH209,        P107307329,    3fe06c07,        04-Apr-2019,        C,        B,        
2019,          SPRING,        MATH209,        P100003700,    3fe071ed,        24-Dec-2018,        D,        F,        
2019,          FALL,        MATH120,        P100062478,    3fe078f5,        15-Aug-2019,        B,        B-,        
2019,          SPRING,        MATH117,        P107265286,    3fe07a0d,        09-Nov-2018,        F,        D,        
2019,          SPRING,        MATH120,        P093001886,    3fe07a8f,        07-Nov-2018,        B,        A-,        
2019,          FALL,        MATH116,        P107265286,    3fe07a8f,        20-Aug-2019,        A-,        A,        
2019,          FALL,        MATH209,        P093001886,    3fe07a8f,        27-Mar-2019,        A,        A,        
2019,          SPRING,        MATH120,        P093001886,    3fe07ca1,        09-Nov-2018,        F,        D,        
2019,          SPRING,        MATH120,        P093001886,    3fe07f7b,        12-Dec-2018,        D,        D-,
2019,          FALL,        MATH120,        P107180114,    3fe08313,        27-Jun-2019,        A,        B,        
2019,          FALL,        MATH117,        P008616066,    3fe095d3,        04-Apr-2019,        I,        W,        
2019,          SPRING,        MATH115,        P107265286,    3fe095d3,        08-Nov-2018,        C-,        D+,        
2019,          FALL,        MATH116,        P091007905,    3fe096cd,        29-Apr-2019,        B,        A-,        
2019,          FALL,        MATH209,        P107307329,    3fe0a717,        28-Mar-2019,        B,        B-,        
2019,          FALL,        MATH120,        P093001886,    3fe0bbcb,        22-Jul-2019,        B,        C+,        
2019,          SPRING,        MATH120,        P107180114,    3fe0bc57,        06-Nov-2018,        B,        C,        
2019,          FALL,        MATH209,        P107265288,    3fe0bc57,        27-Mar-2019,        B,        D,        
2019,          SPRING,        MATH116,        P107266245,    3fe0c067,        08-Nov-2018,        B,        B,        
2019,          SPRING,        MATH209,        P100003700,    3fe0c2a1,        09-Nov-2018,        F,        W,        
2019,          SPRING,        MATH120,        P107180113,    3fe0c7a1,        31-Oct-2018,        C,        C,        
2019,          SPRING,        MATH209,        P093001886,    3fe0e29f,        25-Oct-2018,        C,        A,        
2019,          SPRING,        MATH209,        P089003876,    3fe1015d,        09-Nov-2018,        C,        D,        
2019,          FALL,        MATH116,        P089003876,    3fe1015d,        09-Aug-2019,        D,        D,        
2019,          SPRING,        MATH209,        P089003876,    3fe10293,        14-Jan-2019,        B,        C,        
2019,          FALL,        MATH115,        P107265286,    3fe10293,        26-Apr-2019,        C-,        C,        
2019,          SPRING,        MATH116,        P100062478,    3fe10de7,        09-Nov-2018,        B,        C,        
2019,          SPRING,        MATH209,        P008616066,    3fe10f95,        30-Oct-2018,        C+,        C,        
2019,          SPRING,        MATH209,        P089003876,    3fe12719,        08-Nov-2018,        C,        C,        
2019,          SPRING,        MATH116,        P107266245,    3fe1450f,        10-Nov-2018,        A,        A,        
2019,          FALL,        MATH209,        P107307329,    3fe15603,        03-Apr-2019,        B,        B,        
2019,          SPRING,        MATH116,        P107266245,    3fe157a7,        08-Nov-2018,        B,        D,        
2019,          SUMMER,        MATH209,        P093001886,    3fe157a7,        29-May-2019,        ,        A,        
2019,          SPRING,        MATH117,        P107180113,    3fe1844d,        13-Dec-2018,        C,        B,        
2019,          SPRING,        MATH209,        P093001886,    3fe18e57,        01-Nov-2018,        A,        A+,        
2019,          FALL,        MATH116,        P107265286,    3fe18e57,        22-Aug-2019,        A+,        A+,        
2019,          SPRING,        MATH209,        P107265288,    3fe197a3,        31-Oct-2018,        A,        B,        
2019,          SPRING,        MATH209,        P008616066,    3fe2023d,        01-Nov-2018,        B-,        B,        
2019,          SPRING,        MATH209,        P093001886,    3fe20945,        06-Nov-2018,        C,        B,        
2019,          SPRING,        MATH117,        P107180113,    3fe21697,        06-Nov-2018,        A,        A,        
2019,          FALL,        MATH209,        P107265288,    3fe21eb7,        27-Mar-2019,        B,        C+,        
2019,          FALL,        MATH116,        P107307484,    3fe22de9,        05-May-2019,        B+,        B+,        
2019,          SPRING,        MATH115,        P107265286,    3fe22ed9,        06-Nov-2018,        D-,        D,        
2019,          SPRING,        MATH209,        P089003876,    3fe2381b,        07-Dec-2018,        A,        A,        
2019,          SPRING,        MATH209,        P100003700,    3fe2625f,        05-Dec-2018,        B-,        C,        
2019,          SPRING,        MATH120,        P100021964,    3fe26683,        08-Jan-2019,        D+,        W,        
2019,          SPRING,        MATH115,        P008616066,    3fe26bdd,        30-Oct-2018,        A+,        A+,        
2019,          SPRING,        MATH209,        P089003876,    3fe275e7,        08-Nov-2018,        A,        A,        
2019,          FALL,        MATH116,        P107266245,    3fe28785,        12-Apr-2019,        C,        B+,        
2019,          FALL,        MATH116,        P107307484,    3fe29261,        19-Mar-2019,        A,        A,        
2019,          SPRING,        MATH209,        P100003700,    3fe2942d,        02-Dec-2018,        F,        C-,        
2019,          SPRING,        MATH117,        P107180113,    3fe29699,        01-Nov-2018,        D,        C,        
2019,          FALL,        MATH209,        P107307329,    3fe29699,        26-Mar-2019,        B,        C,        
2019,          FALL,        MATH209,        P093001886,    3fe29789,        03-Apr-2019,        B,        A,        
2019,          FALL,        MATH209,        P107307329,    3fe2a61b,        22-Aug-2019,        B,        B,        
2019,          SPRING,        MATH209,        P002014415,    3fe2b921,        25-Oct-2018,        C+,        C,        
2019,          SPRING,        MATH209,        P100021964,    3fe2bc23,        06-Nov-2018,        B-,        F,        
2019,          SPRING,        MATH209,        P093001886,    3fe2ccbd,        01-Nov-2018,        C,        B-,        
2019,          FALL,        MATH209,        P107265288,    3fe2e987,        27-Mar-2019,        A,        A,        
2019,          SPRING,        MATH209,        P100003700,    3fe2ef8b,        09-Nov-2018,        B-,        C,        
2019,          SPRING,        MATH209,        P093001886,    3fe2fb61,        08-Nov-2018,        F,        F,        
2019,          FALL,        MATH116,        P091007905,    3fe2fbcf,        27-Mar-2019,        A-,        A,        
2019,          SPRING,        MATH115,        P008616066,    3fe304d5,        15-Jan-2019,        A-,        B,        
